2026-06-24T12:06:42.246821+00:00 WRITE_SPLIT: Writing split proposed orders: BUY USDCAD 17.70; BUY USDCHF 58.93; BUY USDJPY 29.51 as 107 capped chunks; mode=live; export=2026-06-24T13:06:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:07:12.348503+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:06:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:07:42.451315+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:07:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:08:12.546271+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:07:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:08:42.652864+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:08:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:09:13.999694+00:00 WRITE: Writing proposed orders: BUY USDCAD 0.08; BUY USDCHF 0.08; BUY USDJPY 0.13; mode=live; export=2026-06-24T13:08:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:09:44.089873+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:09:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:10:14.179317+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:09:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:10:44.281121+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:10:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:11:14.384813+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:10:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:11:44.514742+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:11:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:12:14.602360+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:11:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:12:44.704070+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:12:26+00:00; candle=2026-06-24T12:45:00+00:00
