2026-06-23T20:45:15.858191+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:35:00+00:00; mode=live; export=2026-06-23T20:44:51+00:00; candle=2026-06-23T20:35:00+00:00
2026-06-23T20:45:38.098644+00:00 WRITE_SPLIT: Writing split proposed orders: BUY USDJPY 6.59 as 7 capped chunks; mode=live; export=2026-06-23T20:45:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:45:45.935701+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:45:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:46:08.174580+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:45:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:46:16.007755+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:45:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:46:38.256317+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:46:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:46:46.086910+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:46:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:47:08.333516+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:46:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:47:16.161657+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:46:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:47:38.412759+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:47:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:47:46.225552+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:47:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:48:08.489801+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:47:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:48:16.300183+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:47:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:48:38.559725+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:48:20+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:48:46.374866+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:48:20+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:49:08.638362+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:48:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:49:16.450153+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:48:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:49:38.687690+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:49:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:49:46.526709+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:49:21+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:50:08.764245+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:49:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:50:16.595429+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:40:00+00:00; mode=live; export=2026-06-23T20:49:51+00:00; candle=2026-06-23T20:40:00+00:00
2026-06-23T20:50:38.839627+00:00 WRITE_SPLIT: Writing split proposed orders: BUY EURGBP 3.25 as 4 capped chunks; mode=live; export=2026-06-23T20:50:21+00:00; candle=2026-06-23T20:45:00+00:00
